Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1717091705.611982,1717091742.476158,TCP,10.0.0.1,47640,10.0.0.2,8096,,P,T0884,2.0,1.0
,2,1717091705.612011,1717091742.433524,TCP,10.0.0.2,8096,10.0.0.1,47640,,L,,0.0,0.0
2,3,1717091712.672077,1717091742.436046,TCP,10.0.0.2,53850,10.0.0.3,22,,P,T0884,2.0,1.0
,4,1717091712.674516,1717091742.436035,TCP,10.0.0.3,22,10.0.0.2,53850,,L,,0.0,0.0
