Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1649257405.308356,1649257405.308356,UDP,192.168.0.142,40145,192.168.0.1,53,,L,,0.0,0.0
,2,1649257405.347430,1649257405.347430,UDP,192.168.0.1,53,192.168.0.142,40145,,L,,0.0,0.0
2,3,1649257405.377792,1649257405.517823,TCP,192.168.0.142,57002,192.168.0.64,102,,P,T0846,1.0,2.0
,4,1649257405.517711,1649257405.517711,TCP,192.168.0.64,102,192.168.0.142,57002,,L,,0.0,0.0
3,5,1649257405.518398,1649257435.591719,TCP,192.168.0.142,57004,192.168.0.64,102,,P,T0846,1.0,2.0
,6,1649257405.518604,1649257435.591700,TCP,192.168.0.64,102,192.168.0.142,57004,,L,,0.0,0.0
4,7,1649257425.861079,1649257425.861079,UDP,192.168.0.154,57621,192.168.0.255,57621,,L,,0.0,0.0
