Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1396883252.999968,1396883253.020322,TCP,192.168.10.201,36211,192.168.10.90,102,,P,T0888,1.0,3.0
,2,1396883253.001252,1396883253.020252,TCP,192.168.10.90,102,192.168.10.201,36211,,L,,0.0,0.0
2,3,1396883253.018360,1396883253.105450,TCP,192.168.10.201,36212,192.168.10.90,102,,P,T0888,1.0,3.0
,4,1396883253.021249,1396883253.105388,TCP,192.168.10.90,102,192.168.10.201,36212,,L,,0.0,0.0
3,5,1396883253.104463,1396883253.312223,TCP,192.168.10.201,36213,192.168.10.90,102,,P,T0888,1.0,3.0
,6,1396883253.106201,1396883253.312175,TCP,192.168.10.90,102,192.168.10.201,36213,,L,,0.0,0.0
