Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1649587036.046938,1649587036.049354,TCP,192.168.100.2,33332,192.168.100.3,502,,P,T0843,1.0,5.0
,2,1649587036.047342,1649587036.049345,TCP,192.168.100.3,502,192.168.100.2,33332,,L,,0.0,0.0
2,3,1649587037.050236,1649587037.057214,TCP,192.168.100.2,33334,192.168.100.3,502,,P,T0843,1.0,5.0
,4,1649587037.050642,1649587037.057203,TCP,192.168.100.3,502,192.168.100.2,33334,,L,,0.0,0.0
