Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1428095655.000000,1428095655.000000,TCP,10.1.1.173,61717,10.1.1.164,9600,,P,T0888,1.0,2.0
,2,1428095655.143327,1428095663.833939,TCP,10.1.1.164,9600,10.1.1.173,61717,,L,,0.0,0.0
2,3,1428095655.145347,1428095655.734613,TCP,10.1.1.173,17134,10.1.1.164,9600,,P,T0888,1.0,2.0
,4,1428095655.286926,1428095655.734575,TCP,10.1.1.164,9600,10.1.1.173,17134,,L,,0.0,0.0
3,5,1428095675.669246,1428095675.669246,UDP,10.1.1.173,59516,10.1.1.164,9600,,L,,0.0,0.0
4,6,1428095675.771369,1428095675.771369,UDP,10.1.1.173,59517,10.1.1.164,9600,,L,,0.0,0.0
5,7,1428095675.892372,1428095675.892372,UDP,10.1.1.173,54855,10.1.1.164,9600,,L,,0.0,0.0
,8,1428095676.054158,1428095676.054158,UDP,10.1.1.164,9600,10.1.1.173,54855,,L,,0.0,0.0
