Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1649586839.558958,1649586839.574917,TCP,192.168.100.2,33328,192.168.100.3,502,,P,T0845,1.0,5.0
,2,1649586839.559382,1649586839.574906,TCP,192.168.100.3,502,192.168.100.2,33328,,L,,0.0,0.0
2,3,1649586840.575642,1649586840.592707,TCP,192.168.100.2,33330,192.168.100.3,502,,P,T0845,1.0,5.0
,4,1649586840.576075,1649586840.592696,TCP,192.168.100.3,502,192.168.100.2,33330,,L,,0.0,0.0
