Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1427822983.000000,1427822983.000000,UDP,10.1.1.167,64087,10.1.1.165,47808,,L,,0.0,0.0
2,2,1427822984.001301,1427822984.001301,UDP,10.1.1.167,64088,10.1.1.165,47808,,L,,0.0,0.0
3,3,1427822985.007800,1427823005.918740,UDP,10.1.1.167,47808,10.1.1.165,47808,,P,T0888,1.0,1.0
,4,1427822985.062391,1427823005.970497,UDP,10.1.1.165,47808,10.1.1.167,47808,,L,,0.0,0.0
4,5,1427823003.911727,1427823003.911727,UDP,10.1.1.167,54668,10.1.1.165,47808,,L,,0.0,0.0
5,6,1427823004.913038,1427823004.913038,UDP,10.1.1.167,54669,10.1.1.165,47808,,L,,0.0,0.0
