Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1781196098.362117,1781196098.365193,TCP,192.168.70.150,33720,192.168.70.129,8081,,P,T0867,2.0,1.0
,2,1781196098.362461,1781196098.365186,TCP,192.168.70.129,8081,192.168.70.150,33720,,L,,0.0,0.0
2,3,1781196099.365179,1781196099.396328,TCP,192.168.70.150,45044,192.168.70.129,502,,P,T0867,2.0,1.0
,4,1781196099.365556,1781196099.396309,TCP,192.168.70.129,502,192.168.70.150,45044,,L,,0.0,0.0
