Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1718312544.730026,1718312767.777150,TCP,192.168.1.129,61912,192.168.1.130,2404,,P,T0843,1.0,1.0
,2,1718312544.730345,1718312767.775527,TCP,192.168.1.130,2404,192.168.1.129,61912,,L,,0.0,0.0
2,3,1718312555.480299,1718312765.708157,UDP,192.168.1.129,57559,255.255.255.255,27127,,L,,0.0,0.0
3,4,1718312598.591322,1718312662.591309,UDP,192.168.1.129,64359,255.255.255.255,475,,L,,0.0,0.0
4,5,1718312638.936817,1718312641.906400,UDP,192.168.1.129,55502,239.255.255.250,1900,,L,,0.0,0.0
5,6,1718312639.039351,1718312642.009213,UDP,192.168.1.129,55505,239.255.255.250,1900,,L,,0.0,0.0
6,7,1718312758.950838,1718312761.920133,UDP,192.168.1.129,58684,239.255.255.250,1900,,L,,0.0,0.0
7,8,1718312758.952019,1718312762.022590,UDP,192.168.1.129,58687,239.255.255.250,1900,,L,,0.0,0.0
