frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
108,192.168.70.129,192.168.70.150,8081,,37262,,6,10
109,192.168.70.150,192.168.70.129,37262,,8081,,6,10
110,192.168.70.150,192.168.70.129,37262,,8081,,6,10
111,192.168.70.129,192.168.70.150,8081,,37262,,6,10
112,192.168.70.150,192.168.70.129,37262,,8081,,6,10
113,151.101.133.91,192.168.70.150,443,,43302,,6,8
114,192.168.70.150,151.101.133.91,43302,,443,,6,8
115,151.101.133.91,192.168.70.150,443,,43302,,6,8
116,192.168.70.150,192.168.70.129,37276,,8081,,6,11
117,192.168.70.129,192.168.70.150,8081,,37276,,6,11
118,192.168.70.150,192.168.70.129,37276,,8081,,6,11
119,192.168.70.150,192.168.70.129,37276,,8081,,6,11
120,192.168.70.129,192.168.70.150,8081,,37276,,6,11
121,192.168.70.129,192.168.70.150,8081,,37276,,6,11
122,192.168.70.129,192.168.70.150,8081,,37276,,6,11
123,192.168.70.129,192.168.70.150,8081,,37276,,6,11
124,192.168.70.150,192.168.70.129,37276,,8081,,6,11
125,192.168.70.150,192.168.70.129,37276,,8081,,6,11
126,192.168.70.129,192.168.70.150,8081,,37276,,6,11
127,192.168.70.150,192.168.70.129,37276,,8081,,6,11
128,192.168.70.150,192.168.70.129,37276,,8081,,6,11
129,192.168.70.150,192.168.70.129,37276,,8081,,6,11
130,192.168.70.129,192.168.70.150,8081,,37276,,6,11
131,192.168.70.150,192.168.70.129,37276,,8081,,6,11
132,151.101.133.91,192.168.70.150,443,,43286,,6,6
133,192.168.70.150,151.101.133.91,43286,,443,,6,6
134,151.101.133.91,192.168.70.150,443,,43286,,6,6
135,151.101.133.91,192.168.70.150,443,,43302,,6,8
136,192.168.70.150,151.101.133.91,43286,,443,,6,6
137,192.168.70.150,151.101.133.91,43302,,443,,6,8
138,151.101.133.91,192.168.70.150,443,,43302,,6,8
139,192.168.70.150,192.168.70.129,37282,,8081,,6,12
140,192.168.70.129,192.168.70.150,8081,,37282,,6,12
141,192.168.70.150,192.168.70.129,37282,,8081,,6,12
142,192.168.70.150,192.168.70.129,37282,,8081,,6,12
143,192.168.70.129,192.168.70.150,8081,,37282,,6,12
144,192.168.70.129,192.168.70.150,8081,,37282,,6,12
145,192.168.70.150,192.168.70.129,37282,,8081,,6,12
146,192.168.70.129,192.168.70.150,8081,,37282,,6,12
147,192.168.70.150,192.168.70.129,37282,,8081,,6,12
148,192.168.70.150,192.168.70.129,37282,,8081,,6,12
149,192.168.70.129,192.168.70.150,8081,,37282,,6,12
150,192.168.70.150,192.168.70.129,37282,,8081,,6,12
151,192.168.70.150,192.168.70.2,,47239,,53,17,13
152,192.168.70.150,192.168.70.2,,47239,,53,17,13
153,192.168.70.2,192.168.70.150,,53,,47239,17,13
154,192.168.70.2,192.168.70.150,,53,,47239,17,13
155,192.168.70.150,34.107.243.93,39326,,443,,6,14
156,192.168.70.150,151.101.133.91,43306,,443,,6,15
157,192.168.70.150,151.101.133.91,43302,,443,,6,8
158,151.101.133.91,192.168.70.150,443,,43302,,6,8
159,34.107.243.93,192.168.70.150,443,,39326,,6,14
160,192.168.70.150,34.107.243.93,39326,,443,,6,14
161,192.168.70.150,34.107.243.93,39326,,443,,6,14
162,34.107.243.93,192.168.70.150,443,,39326,,6,14
163,34.107.243.93,192.168.70.150,443,,39326,,6,14
164,151.101.133.91,192.168.70.150,443,,43302,,6,8
165,151.101.133.91,192.168.70.150,443,,43306,,6,15
166,192.168.70.150,151.101.133.91,43306,,443,,6,15
167,192.168.70.150,151.101.133.91,43306,,443,,6,15
168,151.101.133.91,192.168.70.150,443,,43306,,6,15
169,151.101.133.91,192.168.70.150,443,,43306,,6,15
