frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
105,127.0.0.1,127.0.0.1,38654,,8081,,6,9
106,127.0.0.1,127.0.0.1,38654,,8081,,6,9
107,127.0.0.1,127.0.0.1,8081,,38654,,6,9
108,127.0.0.1,127.0.0.1,38654,,8081,,6,9
109,127.0.0.1,127.0.0.1,38656,,8081,,6,10
110,127.0.0.1,127.0.0.1,8081,,38656,,6,10
111,127.0.0.1,127.0.0.1,38656,,8081,,6,10
112,127.0.0.1,127.0.0.1,38656,,8081,,6,10
113,127.0.0.1,127.0.0.1,8081,,38656,,6,10
114,127.0.0.1,127.0.0.1,8081,,38656,,6,10
115,127.0.0.1,127.0.0.1,38656,,8081,,6,10
116,127.0.0.1,127.0.0.1,8081,,38656,,6,10
117,127.0.0.1,127.0.0.1,38656,,8081,,6,10
118,127.0.0.1,127.0.0.1,38656,,8081,,6,10
119,127.0.0.1,127.0.0.1,8081,,38656,,6,10
120,127.0.0.1,127.0.0.1,38656,,8081,,6,10
121,127.0.0.1,127.0.0.1,38658,,8081,,6,11
122,127.0.0.1,127.0.0.1,8081,,38658,,6,11
123,127.0.0.1,127.0.0.1,38658,,8081,,6,11
124,127.0.0.1,127.0.0.1,38658,,8081,,6,11
125,127.0.0.1,127.0.0.1,8081,,38658,,6,11
126,127.0.0.1,127.0.0.1,8081,,38658,,6,11
127,127.0.0.1,127.0.0.1,38658,,8081,,6,11
128,127.0.0.1,127.0.0.1,8081,,38658,,6,11
129,127.0.0.1,127.0.0.1,38658,,8081,,6,11
130,127.0.0.1,127.0.0.1,38658,,8081,,6,11
131,127.0.0.1,127.0.0.1,8081,,38658,,6,11
132,127.0.0.1,127.0.0.1,38658,,8081,,6,11
133,127.0.0.1,127.0.0.1,38672,,8081,,6,12
134,127.0.0.1,127.0.0.1,8081,,38672,,6,12
135,127.0.0.1,127.0.0.1,38672,,8081,,6,12
136,127.0.0.1,127.0.0.1,38672,,8081,,6,12
137,127.0.0.1,127.0.0.1,8081,,38672,,6,12
138,127.0.0.1,127.0.0.1,8081,,38672,,6,12
139,127.0.0.1,127.0.0.1,38672,,8081,,6,12
140,127.0.0.1,127.0.0.1,8081,,38672,,6,12
141,127.0.0.1,127.0.0.1,38672,,8081,,6,12
142,127.0.0.1,127.0.0.1,38672,,8081,,6,12
143,127.0.0.1,127.0.0.1,8081,,38672,,6,12
144,127.0.0.1,127.0.0.1,38672,,8081,,6,12
145,127.0.0.1,127.0.0.1,57808,,8081,,6,13
146,127.0.0.1,127.0.0.1,8081,,57808,,6,13
147,127.0.0.1,127.0.0.1,57808,,8081,,6,13
148,127.0.0.1,127.0.0.1,57808,,8081,,6,13
149,127.0.0.1,127.0.0.1,8081,,57808,,6,13
150,127.0.0.1,127.0.0.1,8081,,57808,,6,13
151,127.0.0.1,127.0.0.1,57808,,8081,,6,13
152,127.0.0.1,127.0.0.1,8081,,57808,,6,13
153,127.0.0.1,127.0.0.1,57808,,8081,,6,13
154,127.0.0.1,127.0.0.1,57808,,8081,,6,13
155,127.0.0.1,127.0.0.1,8081,,57808,,6,13
156,127.0.0.1,127.0.0.1,57808,,8081,,6,13
157,127.0.0.1,127.0.0.1,57818,,8081,,6,14
158,127.0.0.1,127.0.0.1,8081,,57818,,6,14
159,127.0.0.1,127.0.0.1,57818,,8081,,6,14
160,127.0.0.1,127.0.0.1,57818,,8081,,6,14
161,127.0.0.1,127.0.0.1,8081,,57818,,6,14
162,127.0.0.1,127.0.0.1,8081,,57818,,6,14
163,127.0.0.1,127.0.0.1,57818,,8081,,6,14
164,127.0.0.1,127.0.0.1,8081,,57818,,6,14
165,127.0.0.1,127.0.0.1,57818,,8081,,6,14
166,127.0.0.1,127.0.0.1,57818,,8081,,6,14
167,127.0.0.1,127.0.0.1,8081,,57818,,6,14
168,127.0.0.1,127.0.0.1,57818,,8081,,6,14
169,127.0.0.1,127.0.0.1,57824,,8081,,6,15
170,127.0.0.1,127.0.0.1,8081,,57824,,6,15
171,127.0.0.1,127.0.0.1,57824,,8081,,6,15
172,127.0.0.1,127.0.0.1,57824,,8081,,6,15
173,127.0.0.1,127.0.0.1,8081,,57824,,6,15
174,127.0.0.1,127.0.0.1,8081,,57824,,6,15
175,127.0.0.1,127.0.0.1,57824,,8081,,6,15
176,127.0.0.1,127.0.0.1,8081,,57824,,6,15
177,127.0.0.1,127.0.0.1,57824,,8081,,6,15
178,127.0.0.1,127.0.0.1,57824,,8081,,6,15
179,127.0.0.1,127.0.0.1,8081,,57824,,6,15
180,127.0.0.1,127.0.0.1,57824,,8081,,6,15
181,127.0.0.1,127.0.0.1,57826,,8081,,6,16
182,127.0.0.1,127.0.0.1,8081,,57826,,6,16
183,127.0.0.1,127.0.0.1,57826,,8081,,6,16
