frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
112,192.168.70.129,192.168.70.150,102,,54306,,6,14
113,192.168.70.129,209.250.254.15,,43288,,21116,17,2
114,209.250.254.15,192.168.70.129,,21116,,43288,17,2
115,192.168.70.150,192.168.70.129,54310,,102,,6,16
116,192.168.70.150,192.168.70.129,47026,,102,,6,18
117,192.168.70.150,192.168.70.129,36890,,502,,6,17
118,192.168.70.150,192.168.70.129,50866,,502,,6,19
119,192.168.70.129,192.168.70.150,102,,47026,,6,18
120,192.168.70.129,192.168.70.150,502,,50866,,6,19
121,192.168.70.150,192.168.70.129,47026,,102,,6,18
122,192.168.70.150,192.168.70.129,50866,,502,,6,19
123,192.168.70.150,192.168.70.129,47026,,102,,6,18
124,192.168.70.150,192.168.70.129,50866,,502,,6,19
125,192.168.70.129,192.168.70.150,102,,47026,,6,18
126,192.168.70.129,192.168.70.150,502,,50866,,6,19
127,192.168.70.129,192.168.70.150,102,,54310,,6,16
128,192.168.70.129,192.168.70.150,502,,36890,,6,17
129,192.168.70.129,84.17.62.8,45368,,443,,6,1
130,84.17.62.8,192.168.70.129,443,,45368,,6,1
131,192.168.70.150,192.168.70.129,47026,,102,,6,18
132,192.168.70.150,192.168.70.129,47030,,102,,6,20
133,192.168.70.150,192.168.70.129,50866,,502,,6,19
134,192.168.70.150,192.168.70.129,50876,,502,,6,21
135,192.168.70.129,192.168.70.150,102,,47030,,6,20
136,192.168.70.129,192.168.70.150,502,,50876,,6,21
137,192.168.70.150,192.168.70.129,47030,,102,,6,20
138,192.168.70.150,192.168.70.129,50876,,502,,6,21
139,192.168.70.150,192.168.70.129,47030,,102,,6,20
140,192.168.70.150,192.168.70.129,50876,,502,,6,21
141,192.168.70.129,192.168.70.150,102,,47030,,6,20
142,192.168.70.129,192.168.70.150,502,,50876,,6,21
143,192.168.70.129,192.168.70.150,502,,50866,,6,19
144,192.168.70.129,192.168.70.150,102,,47026,,6,18
145,,,,,,,,N/A
146,,,,,,,,N/A
147,192.168.70.150,192.168.70.129,47030,,102,,6,20
148,192.168.70.150,192.168.70.129,41906,,102,,6,22
149,192.168.70.129,192.168.70.150,102,,41906,,6,22
150,192.168.70.150,192.168.70.129,41906,,102,,6,22
151,192.168.70.150,192.168.70.129,41906,,102,,6,22
