frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
170,10.0.0.2,10.0.0.1,8096,,47640,,6,1
171,10.0.0.2,10.0.0.1,8096,,47640,,6,1
172,10.0.0.2,10.0.0.3,53850,,22,,6,2
173,10.0.0.3,10.0.0.2,22,,53850,,6,2
174,10.0.0.1,10.0.0.2,47640,,8096,,6,1
175,10.0.0.1,10.0.0.2,47640,,8096,,6,1
176,10.0.0.2,10.0.0.1,8096,,47640,,6,1
177,10.0.0.1,10.0.0.2,47640,,8096,,6,1
178,10.0.0.2,10.0.0.3,53850,,22,,6,2
179,10.0.0.3,10.0.0.2,22,,53850,,6,2
180,10.0.0.1,10.0.0.2,47640,,8096,,6,1
181,10.0.0.2,10.0.0.1,8096,,47640,,6,1
182,10.0.0.1,10.0.0.2,47640,,8096,,6,1
183,10.0.0.2,10.0.0.3,53850,,22,,6,2
184,10.0.0.3,10.0.0.2,22,,53850,,6,2
185,10.0.0.3,10.0.0.2,22,,53850,,6,2
186,10.0.0.2,10.0.0.3,53850,,22,,6,2
187,10.0.0.2,10.0.0.1,8096,,47640,,6,1
188,10.0.0.1,10.0.0.2,47640,,8096,,6,1
189,10.0.0.1,10.0.0.2,47640,,8096,,6,1
190,10.0.0.3,10.0.0.2,22,,53850,,6,2
191,10.0.0.2,10.0.0.3,53850,,22,,6,2
192,10.0.0.2,10.0.0.1,8096,,47640,,6,1
193,10.0.0.1,10.0.0.2,47640,,8096,,6,1
194,10.0.0.3,10.0.0.2,22,,53850,,6,2
195,10.0.0.2,10.0.0.3,53850,,22,,6,2
196,10.0.0.3,10.0.0.2,22,,53850,,6,2
197,10.0.0.2,10.0.0.3,53850,,22,,6,2
198,10.0.0.2,10.0.0.1,8096,,47640,,6,1
199,10.0.0.2,10.0.0.1,8096,,47640,,6,1
200,10.0.0.1,10.0.0.2,47640,,8096,,6,1
201,10.0.0.1,10.0.0.2,47640,,8096,,6,1
202,10.0.0.1,10.0.0.2,47640,,8096,,6,1
203,10.0.0.2,10.0.0.1,8096,,47640,,6,1
204,10.0.0.1,10.0.0.2,47640,,8096,,6,1
205,10.0.0.2,10.0.0.1,8096,,47640,,6,1
206,10.0.0.2,10.0.0.1,8096,,47640,,6,1
207,10.0.0.1,10.0.0.2,47640,,8096,,6,1
208,10.0.0.1,10.0.0.2,47640,,8096,,6,1
209,10.0.0.1,10.0.0.2,47640,,8096,,6,1
210,10.0.0.2,10.0.0.1,8096,,47640,,6,1
211,10.0.0.2,10.0.0.1,8096,,47640,,6,1
212,10.0.0.2,10.0.0.3,53850,,22,,6,2
213,10.0.0.3,10.0.0.2,22,,53850,,6,2
214,10.0.0.1,10.0.0.2,47640,,8096,,6,1
215,10.0.0.1,10.0.0.2,47640,,8096,,6,1
216,10.0.0.2,10.0.0.1,8096,,47640,,6,1
217,10.0.0.1,10.0.0.2,47640,,8096,,6,1
218,10.0.0.2,10.0.0.3,53850,,22,,6,2
219,10.0.0.3,10.0.0.2,22,,53850,,6,2
220,10.0.0.1,10.0.0.2,47640,,8096,,6,1
221,10.0.0.2,10.0.0.1,8096,,47640,,6,1
222,10.0.0.1,10.0.0.2,47640,,8096,,6,1
223,10.0.0.2,10.0.0.3,53850,,22,,6,2
224,10.0.0.3,10.0.0.2,22,,53850,,6,2
225,10.0.0.1,10.0.0.2,47640,,8096,,6,1
226,10.0.0.2,10.0.0.1,8096,,47640,,6,1
227,10.0.0.1,10.0.0.2,47640,,8096,,6,1
228,10.0.0.2,10.0.0.3,53850,,22,,6,2
229,10.0.0.3,10.0.0.2,22,,53850,,6,2
230,10.0.0.1,10.0.0.2,47640,,8096,,6,1
231,10.0.0.2,10.0.0.1,8096,,47640,,6,1
232,10.0.0.1,10.0.0.2,47640,,8096,,6,1
233,10.0.0.2,10.0.0.3,53850,,22,,6,2
234,10.0.0.3,10.0.0.2,22,,53850,,6,2
235,10.0.0.1,10.0.0.2,47640,,8096,,6,1
236,10.0.0.2,10.0.0.1,8096,,47640,,6,1
237,10.0.0.1,10.0.0.2,47640,,8096,,6,1
238,10.0.0.2,10.0.0.3,53850,,22,,6,2
239,10.0.0.3,10.0.0.2,22,,53850,,6,2
240,10.0.0.1,10.0.0.2,47640,,8096,,6,1
241,10.0.0.2,10.0.0.1,8096,,47640,,6,1
242,10.0.0.1,10.0.0.2,47640,,8096,,6,1
243,10.0.0.2,10.0.0.3,53850,,22,,6,2
244,10.0.0.3,10.0.0.2,22,,53850,,6,2
245,10.0.0.1,10.0.0.2,47640,,8096,,6,1
246,10.0.0.2,10.0.0.1,8096,,47640,,6,1
247,10.0.0.1,10.0.0.2,47640,,8096,,6,1
248,10.0.0.2,10.0.0.3,53850,,22,,6,2
249,10.0.0.3,10.0.0.2,22,,53850,,6,2
250,10.0.0.1,10.0.0.2,47640,,8096,,6,1
251,10.0.0.2,10.0.0.1,8096,,47640,,6,1
252,10.0.0.1,10.0.0.2,47640,,8096,,6,1
253,10.0.0.2,10.0.0.3,53850,,22,,6,2
254,10.0.0.3,10.0.0.2,22,,53850,,6,2
255,10.0.0.3,10.0.0.2,22,,53850,,6,2
256,10.0.0.2,10.0.0.3,53850,,22,,6,2
257,10.0.0.2,10.0.0.1,8096,,47640,,6,1
258,10.0.0.1,10.0.0.2,47640,,8096,,6,1
259,10.0.0.1,10.0.0.2,47640,,8096,,6,1
260,10.0.0.3,10.0.0.2,22,,53850,,6,2
